Coin,classification,Closed PnL
REZ,Unknown,5.824474285714286
RLB,Unknown,18.986934
RNDR,Unknown,77.08137817045454
RSR,Unknown,5.169729
RUNE,Unknown,19.392512804347827
S,Unknown,-60.033650819444446
SAND,Unknown,10.797258180487805
SCR,Unknown,50.40548
SEI,Unknown,42.37352113191489
SHIA,Unknown,54.7137286
SOL,Unknown,153.35851908203162
SPX,Unknown,62.36478998888889
STG,Unknown,25.649108571428574
STRK,Unknown,-31.6120003125
STX,Unknown,12.3741093125
SUI,Unknown,100.69168010207176
SUPER,Unknown,3.5197902
SUSHI,Unknown,5.711716273584905
TAO,Unknown,15.543383059149724
TIA,Unknown,40.439435571428575
TNSR,Unknown,7.368347425685426
TON,Unknown,-0.6032903333333334
TRUMP,Unknown,-190.01297300989583
TRX,Unknown,8.377018799999998
TST,Unknown,20.351481024242425
TURBO,Unknown,102.89313185542169
UNI,Unknown,5.701082049180328
UNIBOT,Unknown,81.26394225
USTC,Unknown,6.9338634
USUAL,Unknown,116.44137665050167
VINE,Unknown,5.890570540073982
VIRTUAL,Unknown,34.28856404912281
VVV,Unknown,26.034087270588234
W,Unknown,2.692157910472973
WCT,Unknown,32.589900425531916
WIF,Unknown,31.088584010380625
WLD,Unknown,11.236470073625819
XAI,Unknown,134.276725875
XRP,Unknown,2.117757308342728
YGG,Unknown,28.20965637837838
ZEN,Unknown,-49.17969023333333
ZEREBRO,Unknown,27.52526043953186
ZETA,Unknown,18.86776122857143
ZK,Unknown,1.7795838035714286
ZORA,Unknown,44.84547914473684
ZRO,Unknown,148.3275090306699
kBONK,Unknown,21.585455540983606
kFLOKI,Unknown,45.92674642857143
kNEIRO,Unknown,1.0638874
kPEPE,Unknown,10.795952187283238
kSHIB,Unknown,7.753812888888888
